gelukm;gelukv;educm;heightm;BMIm;healthm;consm;extram;agreem;emom;autom;riskym;Agem;educv;heightv;BMIv;healthv;consv;extrav;agreev;emov;autov;riskyv;Agev
2;2;2;186;28,905075;3;-0,752877;-0,360787;-0,711276;-0,291031;0,840217;0,479437;35;2;159;22,942131;4;-0,352262;0,065096;-0,713136;-0,529817;-0,06674;0,271632;31
2;3;2;176;27,440599;3;0,345542;-0,805524;-0,251796;-0,305475;-0,064454;0,030303;37;2;165;22,038567;3;-0,741707;-0,484221;0,219906;0,706937;0,685428;0,353834;33
4;2;3;187;23,163374;3;-0,759678;0,898007;-0,029462;-0,672859;-0,961691;-0,556598;29;3;170;20,761246;3;0,327571;-0,180299;1,05207;0,999001;0,177472;-0,201117;30
1;2;1;184;29,241493;2;-0,455688;-1,053375;-0,041612;0,436133;0,121873;0,992084;45;2;160;22,65625;4;-0,18764;-1,299261;1,223071;0,154011;2,284336;-0,17207;32
2;2;1;174;23,781214;4;-1,440239;1,16373;0,29375;-0,538922;0,782285;-1,401034;24;2;165;22,773186;3;0,078951;0,613921;0,122749;0,073875;-0,253068;0,042352;24
2;1;1;186;21,967857;3;-1,008298;-0,484221;1,155301;0,267899;0,927354;0,011056;33;1;168;19,132652;3;-1,429069;0,472616;1,240802;0,695631;1,163253;-1,445496;31
3;2;2;183;25,082863;3;-0,053616;-0,239318;0,21011;-0,119122;-0,16593;0,214206;31;2;168;22,675737;3;-1,133336;0,462943;0,233916;0,540649;0,215037;-0,150937;25
2;3;3;187;25,165146;3;0,098379;-1,886778;-0,78698;0,57866;-0,560358;0,254636;39;3;168;25,155895;3;0,574734;0,294093;-1,080239;-1,501449;-1,798664;0,314098;37
1;2;2;183;23,589836;4;-0,752877;0,605231;-0,519388;-0,003096;-0,621982;0,052341;27;2;155;28,720083;3;-0,351534;-0,493403;-0,1565;-0,447957;-0,259094;0,11941;25
1,5;1;2;186;21,389755;4;0,098379;0,614413;-0,771109;0,578305;-0,925533;-0,635862;33;1;163;23,335466;3;1,149685;0,632776;0,251647;0,309684;-0,441682;0,450397;29
2,5;2;1;196;22,126198;3;-0,342548;-0,238336;0,12461;-0,257211;-0,374031;0,033874;34;2;158;19,227688;3;-1,05298;0,632776;-0,842034;-0,704298;0,010677;0,586705;32
2;2;2;184;30,422968;3;-0,473659;0,045259;-0,548776;0,204153;-0,441682;-0,16251;41;2;162;23,624447;3;0,101292;0,026896;-0,303129;-0,033771;0,43145;-0,719865;38
2;1,5;3;189;20,436157;4;-0,31195;-1,327788;0,513164;0,673043;0,685428;0,46953;29;2;176;24,212294;3;-0,332835;-0,085391;-0,027602;-0,193475;0,524614;0,286146;30
2;2;2;184;23,334122;3;-0,475116;-0,502584;-0,182166;0,061718;-0,138131;0,208792;37;2;174;22,460033;2;-0,053616;0,19722;-0,562786;-0,725594;0,282688;0,269544;35
2;2;2;187;24,307243;2;-0,619582;0,055914;-0,017806;0,146962;0,403651;-0,215716;37;1;168;24,09297;3;-0,34182;-0,228663;-0,015945;-0,125371;-0,280867;-0,091305;34
2;2;2;185;24,251278;3;-0,218238;0,879153;-0,128972;-0,239303;-0,50102;0,333223;32;2;160;26,171875;4;0,634474;-0,352097;0,485637;-0,394732;0,419397;-0,462182;29
2;2;2;173;19,379198;3;0,346999;-1,602201;0,235776;-0,048565;0,741027;0,156261;35;2;165;21,671259;4;-0,227952;0,046241;0,981145;-0,32643;0,351746;-0,116462;30
1;1;1;183;22,395414;4;-0,765505;0,898007;-0,548776;-0,804427;-0,187703;-1,023422;38;2;168;21,258503;3;0,594162;0,614413;-0,077074;-0,728852;-0,453734;0,227639;40
1;1,5;2;187;25,165146;3;-1,061237;-0,891741;0,461831;0,578318;0,871756;0,415473;31;2;175;20,571428;3;0,349184;1,43716;-1,952152;-0,760718;-0,687301;0,280934;31
;;1;184;17,722116;3;-0,423911;0,329836;-1,325885;-0,491399;-0,052401;-0,098538;29;2;160;19,53125;2;-1,544393;0,878661;-1,341756;-1,238004;0,003197;-0,093547;25
2;2;2;189;24,635368;4;-0,60914;0,045259;-0,051407;0,179447;0,143646;0,185622;27;2;173;21,049818;4;0,201804;-1,034029;0,485637;-0,175695;0,336;0,588044;26
2;1;3;187;20,589664;3;-0,189097;-0,485204;-0,006149;0,457107;-0,937585;0,15562;42;2;165;18,365473;4;0,213703;-1,479258;-0,162574;-0,657549;-0,534845;0,11933;39
